debtor_id,age,gender,region,original_amount,days_past_due,delinquency_group,collection_status,amount_recovered,outstanding_amount,strategy_used,contact_attempts,contact_success_count,recovery_time_days,credit_score,income_level,employment_status,loan_id,collection_rate,contact_efficiency
1,52,여성,성남시,49368276,208,상각,실패,0,49368276,방문,5,0,,480,4758,직장인,L0001,0.0,0.0
2,33,여성,진천군,43841374,308,상각,실패,0,43841374,방문,10,0,,456,2766,직장인,L0002,0.0,0.0
3,48,여성,정선군,22091507,37,단기,성공,21749863,341644,문자,1,0,22.0,907,5569,자영업,L0003,0.9845350523167116,21749863.0
4,59,남성,광명시,28435736,169,중기,실패,0,28435736,방문,6,1,,661,2465,직장인,L0004,0.0,0.0
5,39,여성,안산시 상록구,46105934,35,단기,성공,32548076,13557858,전화,3,0,6.0,733,5763,직장인,L0005,0.70594114848644,10849358.666666666
6,24,여성,횡성군,43428427,177,중기,실패,0,43428427,전화,7,2,,763,3826,직장인,L0006,0.0,0.0
7,33,여성,천안시 동남구,19610085,41,단기,실패,0,19610085,전화,1,0,,489,6114,자영업,L0007,0.0,0.0
8,46,남성,의정부시,6299216,331,상각,실패,0,6299216,방문,10,0,,545,2224,무직,L0008,0.0,0.0
9,51,남성,충주시,16416070,85,단기,실패,0,16416070,문자,1,0,,748,2601,직장인,L0009,0.0,0.0
10,21,남성,구리시,14217695,176,중기,실패,0,14217695,방문,6,0,,855,3868,직장인,L0010,0.0,0.0
11,61,여성,안양시,44837518,346,상각,실패,0,44837518,전화,11,1,,677,7712,직장인,L0011,0.0,0.0
12,31,여성,연천군,1443019,66,단기,실패,0,1443019,문자,3,0,,734,7358,직장인,L0012,0.0,0.0
13,60,남성,아산시,49077837,350,상각,실패,0,49077837,전화,11,3,,427,3640,직장인,L0013,0.0,0.0
14,69,여성,청주시 상당구,22943011,104,중기,성공,7320754,15622257,전화,4,0,5.0,727,6215,직장인,L0014,0.3190842736378412,1830188.5
15,47,여성,안양시 동안구,17942069,43,단기,성공,15291090,2650979,문자,1,0,18.0,507,3785,직장인,L0015,0.8522478650594867,15291090.0
16,67,여성,청주시 청원구,1571981,331,상각,실패,0,1571981,전화,12,0,,694,7792,직장인,L0016,0.0,0.0
17,56,여성,고양시 일산서구,43636401,319,상각,실패,0,43636401,전화,10,0,,700,6612,직장인,L0017,0.0,0.0
18,22,남성,인제군,11090446,227,상각,실패,0,11090446,전화,8,0,,934,6312,직장인,L0018,0.0,0.0
19,56,남성,아산시,11192251,178,중기,실패,0,11192251,방문,9,0,,891,6009,직장인,L0019,0.0,0.0
20,51,여성,부천시 오정구,31672414,164,중기,실패,0,31672414,전화,5,1,,403,5458,직장인,L0020,0.0,0.0
21,48,남성,진천군,31258145,283,상각,실패,0,31258145,방문,10,1,,834,2813,직장인,L0021,0.0,0.0
22,32,남성,공주시,19596964,282,상각,실패,0,19596964,전화,11,3,,889,6056,자영업,L0022,0.0,0.0
23,69,남성,원주시,37535643,333,상각,실패,0,37535643,방문,11,0,,841,7469,직장인,L0023,0.0,0.0
24,61,여성,수원시 권선구,17978056,363,상각,실패,0,17978056,전화,13,0,,842,3251,직장인,L0024,0.0,0.0
25,56,남성,삼척시,45598024,186,상각,실패,0,45598024,전화,7,0,,467,5379,무직,L0025,0.0,0.0
26,68,여성,성남시 중원구,32104619,48,단기,성공,31603993,500626,문자,1,0,21.0,410,4362,직장인,L0026,0.9844064182789398,31603993.0
27,37,남성,아산시,935543,242,상각,실패,0,935543,전화,7,0,,845,3592,자영업,L0027,0.0,0.0
28,36,남성,계룡시,3940053,266,상각,실패,0,3940053,전화,10,1,,704,5707,자영업,L0028,0.0,0.0
29,51,남성,광주시,40798880,108,중기,실패,0,40798880,전화,5,0,,482,6386,자영업,L0029,0.0,0.0
30,50,남성,의정부시,32213131,193,상각,실패,0,32213131,전화,7,0,,547,7312,직장인,L0030,0.0,0.0
